"longitude","latitude","vesselid","time","confidence"
-42.932713,30.385937,241444000,"24/04/2024 01:03:35",95.68356
-43.27997,32.900314,308753000,"24/04/2024 01:04:17",98.04669
-41.91458,26.548666,NA,"24/04/2024 01:02:32",NA
-41.914345,27.420574,538007233,"24/04/2024 01:02:45",91.81078
-37.398434,33.376972,352003121,"24/04/2024 01:04:15",94.161575
-36.1676,25.254036,241468000,"24/04/2024 01:02:13",68.02614
-45.073296,31.209654,563222900,"24/04/2024 01:03:57",98.010254
-42.200726,32.430058,370751000,"24/04/2024 01:04:06",95.97601
-34.72636,32.07566,NA,"24/04/2024 01:03:58",NA
-34.60586,32.46521,NA,"24/04/2024 01:04:08",NA
-44.47886,32.307846,247601000,"24/04/2024 01:04:11",97.400536
-38.75697,24.818596,636022962,"24/04/2024 01:02:10",30.045471
-39.333683,30.042356,636023136,"24/04/2024 01:03:21",95.79566
-38.909832,34.526436,NA,"24/04/2024 01:04:28",NA
-38.184425,33.99353,NA,"24/04/2024 01:04:24",NA
-37.841743,32.874046,215567000,"24/04/2024 01:04:09",86.31102
-37.4582,34.713676,NA,"24/04/2024 01:04:37",NA
-43.018913,23.292065,255805869,"24/04/2024 01:01:55",98.55096
-44.47424,32.30617,NA,"24/04/2024 01:04:15",NA
-41.137577,36.440704,215754000,"24/04/2024 01:05:08",60.362854
-44.441277,35.510506,367782370,"24/04/2024 01:04:53",83.34587
-43.059906,35.40217,636021281,"24/04/2024 01:04:57",97.23813
-42.952633,36.654587,371951000,"24/04/2024 01:05:16",91.51797
-45.858646,35.82689,319115700,"24/04/2024 01:05:08",99.658005
-45.855873,35.82628,319115700,"24/04/2024 01:05:05",99.27033
-36.611835,36.17054,NA,"24/04/2024 01:05:04",NA
-35.14846,34.817383,311001288,"24/04/2024 01:04:44",69.99951
-45.22417,34.23874,303270000,"24/04/2024 01:04:43",99.587036
-34.672226,35.41573,477407100,"24/04/2024 01:04:45",68.95663
-34.53361,37.350716,NA,"24/04/2024 01:05:16",NA
-39.7315,36.319645,636017522,"24/04/2024 01:05:07",95.886406
-38.716488,36.105892,224407000,"24/04/2024 01:05:08",98.88619
-43.471596,36.993015,311296000,"24/04/2024 01:05:21",74.36324
-45.678986,35.600414,256230000,"24/04/2024 01:05:06",98.72216
-45.675423,35.603306,256230000,"24/04/2024 01:05:05",98.65363
-45.358063,34.90913,636013814,"24/04/2024 01:04:51",97.1357
-45.182796,35.106846,563125300,"24/04/2024 01:04:55",98.38315
-44.785233,36.412636,538003015,"24/04/2024 01:05:18",98.003746
-44.868553,37.33473,311295000,"24/04/2024 01:05:29",96.397064
-44.58205,37.523037,235070865,"24/04/2024 01:05:33",86.13757
-43.838623,35.981247,NA,"24/04/2024 01:05:18",NA
-43.172565,37.94967,319117400,"24/04/2024 01:05:35",56.4312
-35.487076,37.648552,NA,"24/04/2024 01:05:36",NA
-35.0971,38.531483,256338000,"24/04/2024 01:05:38",76.776566
-34.513268,37.338108,419001223,"24/04/2024 01:05:44",29.632685
-41.69603,38.146774,241747000,"24/04/2024 01:05:37",80.73968
-37.58209,38.439594,370254000,"24/04/2024 01:05:37",88.355286
-45.571625,40.553375,538005270,"24/04/2024 01:06:23",97.739075
-41.36458,41.122974,229969000,"24/04/2024 01:06:24",66.3571
-43.64083,42.068707,NA,"24/04/2024 01:06:45",NA
-43.451267,41.540535,477738700,"24/04/2024 01:06:32",95.608955
-35.555927,42.50604,538008690,"24/04/2024 01:06:48",37.04275
-41.98054,41.588985,403511001,"24/04/2024 01:06:33",94.279015
-41.56562,40.395725,224250000,"24/04/2024 01:05:58",99.10445
-41.57107,40.392555,224250000,"24/04/2024 01:06:21",98.7739
-41.583637,40.38835,224250000,"24/04/2024 01:06:18",75.0848
-41.56034,40.39221,224250000,"24/04/2024 01:06:12",98.13531
-40.47709,42.79165,NA,"24/04/2024 01:06:50",NA
-38.98353,42.552315,636017335,"24/04/2024 01:06:45",76.03062
-38.87893,43.04198,NA,"24/04/2024 01:06:51",NA
-44.41751,42.74248,538003852,"24/04/2024 01:06:55",98.72331
-38.2711,42.94799,NA,"24/04/2024 01:06:52",NA
-43.74257,44.837685,567104000,"24/04/2024 01:07:27",95.61414
-43.35327,44.766426,477694200,"24/04/2024 01:07:24",94.99973
-34.95049,45.10084,NA,"24/04/2024 01:07:38",NA
-46.559414,43.106453,538004477,"24/04/2024 01:07:07",99.10376
-34.344467,43.871475,246865000,"24/04/2024 01:07:02",93.22831
-33.386135,44.608814,636017000,"24/04/2024 01:07:08",49.663475
-40.55322,45.454098,636016206,"24/04/2024 01:07:34",85.03434
-39.67717,43.520622,NA,"24/04/2024 01:06:59",NA
-34.793747,45.634884,249575000,"24/04/2024 01:07:16",16.867071
-46.184975,45.237213,538010294,"24/04/2024 01:07:43",98.212814
-46.015015,45.734737,636017006,"24/04/2024 01:07:45",92.97633
-45.506496,46.552902,NA,"24/04/2024 01:07:54",NA
-45.162994,46.537518,263533000,"24/04/2024 01:07:55",92.06195
-44.856644,47.135693,538010542,"24/04/2024 01:07:56",76.35401
-44.595608,45.727707,311000437,"24/04/2024 01:07:44",58.76181
-44.485855,46.253193,538004534,"24/04/2024 01:07:50",97.51387
-43.586594,46.06875,368359000,"24/04/2024 01:07:48",96.85297
-36.08402,45.554787,NA,"24/04/2024 01:07:39",NA
-43.159954,45.892258,NA,"24/04/2024 01:07:46",NA
-35.189114,45.473442,NA,"24/04/2024 01:07:45",NA
-35.096436,46.686234,NA,"24/04/2024 01:07:48",NA
-34.777096,45.634777,NA,"24/04/2024 01:07:56",NA
-46.65677,46.396206,224534000,"24/04/2024 01:07:54",92.04715
-40.958508,46.559555,NA,"24/04/2024 01:07:47",NA
-40.68357,45.873837,NA,"24/04/2024 01:07:44",NA
-39.81158,46.81738,636021172,"24/04/2024 01:07:48",52.634987
-39.826885,46.867435,311000705,"24/04/2024 01:07:54",97.141754
-45.071022,47.35341,246519000,"24/04/2024 01:08:01",94.29919
-38.122166,46.387333,636018114,"24/04/2024 01:07:47",90.9125
-43.836643,47.838066,477754700,"24/04/2024 01:08:00",77.42475
-35.462303,47.55917,NA,"24/04/2024 01:07:55",NA
-45.071182,47.353474,NA,"24/04/2024 01:08:02",NA
-44.8743,47.49998,538006786,"24/04/2024 01:08:01",84.851875
-40.956665,46.554962,305700000,"24/04/2024 01:08:02",71.13814
